name;analogue;classes
Mobileum Cross Protocol Firewall;PROTEI Signaling Firewall (8589);Телекоммуникации|Сетевое оборудование
Mobileum Signaling Firewall;PROTEI Signaling Firewall (8589);Телекоммуникации|Сетевое оборудование
Mobileum SS7 Firewall;PROTEI Signaling Firewall (8589);Телекоммуникации|Сетевое оборудование
Mobius;ZR RoboTruck, ZR RoboDrill (undefined);Системы для обеспечения безопасности|Добывающая промышленность|ПО для робототехники|ПО для автономного транспорта
Modular Mining;АСУ ГТК «Карьер» (9118)|АСУ ГТК «Карьер» / Zyfra OpenMine FMS (9113);Системы мониторинга и управления транспортом|Добывающая промышленность|ПО для промышленности
MOLDMAKER;Пресс-формы 3D (814)|Пресс-формы 3D Express (815);CAD/ECAD/CAM/CAE-системы|ПО для промышленности
Mold wizard (NX);Пресс-формы 3D (814)|Пресс-формы 3D Express (815);CAD/ECAD/CAM/CAE-системы|ПО для промышленности
MoldWorks;Пресс-формы 3D (814)|Пресс-формы 3D Express (815);CAD/ECAD/CAM/CAE-системы|ПО для промышленности
Monday.com;ADVANTA (Адванта) – А2: Управление проектами (279)|CRM Мегаплан (1941)|IconTeam (undefined)|Naumen Service Management Platform (5263)|Pyrus (4857);Системы управления проектами|Системы управления задачами|Колл-центры|Service Desk|Системы организации групповой работы|Системы управления бизнес-процессами|CRM-системы|Корпоративные порталы и средства их создания
Monitoring Expert;ИНФОПРО: Энергоменеджмент (2959);Системы мониторинга и управления|Телекоммуникации|Энергетика|Системы управления проектами
Montronix;Автоматизированная информационная система Диспетчер (2122)|Цифровая Программная Система Мониторинга Оборудования ОПТИМУМ ИИ (7781);Системы мониторинга и управления|SCADA|IIoT (промышленный интернет вещей)
Moxa EDR-810-VPN;ViPNet Coordinator IG 4 (5102);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|ПАК криптозащиты сетей|Сетевое оборудование
Moxa EDR-G902;ViPNet Coordinator IG 4 (5102);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|ПАК криптозащиты сетей|Сетевое оборудование
Moxa EDR-G903;ViPNet Coordinator IG 4 (5102);Безопасный удаленный доступ|Средства криптозащиты сетей|Защищенный сетевой шлюз|ПАК криптозащиты сетей|Сетевое оборудование
MPDV HYDRA;BFG APS (5089)|Zyfra Industrial Automation Kit (undefined);ПО для промышленности|MES|Системы мониторинга и управления
MSC Adams;Программный комплекс автоматизированного динамического анализа многокомпонентных механических систем EULER (280);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
MSC Apex;APM StructFEM (3090);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
MSC Fatigue;APM StructFEM (3090);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
MSDynamiCS;AMBER (undefined);Системы управления бизнес-процессами
MS Hyper-V;ECP VeiL (4608)|ECP VeiL SE (8729)|ROSA Virtualization (5091)|VMmanager (790)|Гиперконвергентная инфраструктура vStack (11995)|Программный комплекс «Средства виртуализации «Брест» (3742)|РЕД Виртуализация (6929)|Система серверной виртуализации «Р-Виртуализация» (3348);Системы виртуализации|Системы управления виртуализацией|Гипервизоры
MS Teams;eClass (123577)|IVA AVES S (ДВФТ.30002-01) (5142)|TrueConf Server (78)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Контур.Класс (12885)|Контур.Толк (11964)|Пачка (11262)|Программный комплекс CommuniGate Pro Ver. 6.3 (7112)|Сервер видеоконференций Vinteo (412)|Система коммуникаций Express (5745);Системы видеосвязи (ВКС)|Образование|Для организации удалённой работы|Системы организации групповой работы|Системы видеостриминга|Обучающее ПО|Instant Messaging|Корпоративные порталы и средства их создания|Коммуникационное ПО|E-mail серверы|Телефония|Колл-центры
MuleSoft Anypoint Platform;Bercut, Гибридная интеграционная платформа (Hybrid Integration Platform) (5746)|RED MULE, Интеграционная Цифровая Платформа (Digital Integration Platform) (12601);Интеграционное ПО. Интеграционные шины, ESB
mynah Schneider electric AVEVA;RTsim (undefined);Системы управления бизнес-процессами
NAGFORM;Программа моделирования технологических процессов обработки металлов давлением (QForm) (438);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
Nagios XI;AggreGate Network Manager (1057);Системы мониторинга и управления|Системы мониторинга и управления сетей и средств связи|Средства управления ИТ-инфраструктурой|Отечественное ПО, бесплатное для образовательных организаций|Средства прикладной разработки NoCode/LowCode
NaviCon Trade WMS;AXELOT WMS X (5494)|LEAD WMS (undefined)|TopLog WMS (5224);Склады, логистика|Системы управления бизнес-процессами|ПО для промышленности|ПО для робототехники
NAVIS N4;AXELOT TOS (9675);Склады, логистика
Navisworks;Pilot-BIM (7691)|Pilot-ICE Enterprise (3317);Системы документооборота (СЭД), ECM-системы|Строительство|ПО для промышленности|BIM
NComputing;Многопользовательское расширение АСТЕР для Windows (614);Системные утилиты
NCSIMUL;Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
NEC BX9000;СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Сетевое оборудование
NEC NeoFace Watch;Визирь. Программный комплекс системы видеоидентификации. (1989);Системы видеонаблюдения|Умный город|Транспорт|Системы управления доступом (СКУД)
Netapp FAS;AERODISK A-CORE (4163)|ROSA Virtualization (5091);ПАК|СХД|Системы управления виртуализацией
NetApp ONTAP Select;Almond FS (252063);СХД
NetBox;DCImanager (8676);Средства управления ИТ-инфраструктурой
Netcracker Active Mediation;Nexign Mediation (undefined);Телекоммуникации
Netcracker Online Charging System;Система контроля баланса и тарификации в режиме реального времени Nexign Online Charging System (14100);Телекоммуникации|Биллинговые системы
NetCracker Technology;Bercut, Конвергентная биллинговая система IN@Voice для монетизации бизнеса и развития цифровых экосистем (3060)|Nexign Revenue Management (undefined)|Система автоматизированного эксплуатационного управления и учета средств связи и абонентов АРГУС (2791);Телекоммуникации|Биллинговые системы|Системы управления бизнес-процессами|Системы мониторинга и управления сетей и средств связи|EAM-системы (управление активами предприятия)|Средства управления ИТ-инфраструктурой
NetIQ Identity Manager;1IDM: управление учетными записями и доступом (5963);IDM-системы|Средства управления доступом к информационным ресурсам
Netpeak Spider;SiteAnalyzer (undefined);Управление Web-сайтами
Netscout Arbor;Kaspersky DDoS Protection, Standard Level (186)|StormWall DDoS Protection (12322)|Периметр (3531);Средства защиты от DDOS-атак
NetSuite Sales Force Automation (SFA);Система управления мобильной торговлей ОПТИМУМ (1804);Системы управления бизнес-процессами|Торговля
Netweaver;Инкоманд (10821);ПО для HR и кадровых служб|Корпоративные порталы и средства их создания|Базы знаний
Netwrix Auditor;InfoWatch Data Access Tracker (12216)|Makves DCAP (6299)|ViPNet SafePoint (7057)|Гарда Файлы (undefined)|Спектр (7143);DLP-системы|ПО для обеспечения ИБ|Энергетика|Средства защиты от НСД|Средства управления доступом к информационным ресурсам|Страхование|Средства аутентификации пользователей
Netwrix Data Classification Platform;InfoWatch Data Access Tracker (12216)|Makves DCAP (6299)|ViPNet SafePoint (7057)|Спектр (7143);DLP-системы|ПО для обеспечения ИБ|Энергетика|Средства защиты от НСД|Средства управления доступом к информационным ресурсам|Страхование|Средства аутентификации пользователей
NetWrix Data Security Platform;КИБ Серчинформ (2468)|Спектр (7143);DLP-системы|Средства управления доступом к информационным ресурсам
Nextcloud;МойОфис Частное Облако (89);Офисные пакеты|Для организации удалённой работы|Системы облачного хранения файлов
Nextview EPG;EPG DREGUIDE (5618);Телевидение, радиовещание
Nice;AURUS-PHONEUP-REC Запись разговоров (1260)|Naumen Erudite (6283)|Naumen WFM (2202)|Nexign KPI Management (undefined)|АРГУС Workforce Management for Call Centre (8432);Системы аудиозаписи|Коммуникационное ПО|Телефония|Лингвистическое ПО|Instant Messaging|Колл-центры
Nice Cxone;AURUS-PHONEUP-REC Запись разговоров (1260)|Smart Logger II. Программный комплекс системы контроля качества работы операторов и мониторинга удовлетворенности клиентов. (2008)|Многоканальная система регистрации телефонных вызовов и речевых сообщений Незабудка II (Незабудка II) (719);Системы аудиозаписи|Коммуникационное ПО|Телефония|Лингвистическое ПО|СУБД и средства работы с данными|Аудио, видео, обработка изображений|Банки и финансы|QMS|Органы власти
NLyte Software DCIM;DCImanager (8676)|ITAM-система ИнфраМенеджер (2595)|Naumen Inventory (535);Средства управления ИТ-инфраструктурой|ПО для функциональных сотрудников/подразделений|EAM-системы (управление активами предприятия)|Средства управления доступом к информационным ресурсам
Nokia;EcoNAT (1675);Коммуникационное ПО
Nokia CFX-5000 SIP Session Control;SI3000 vIMS «Программная платформа комбинированного узла связи (с приложениями) на основе технологии мультисервисных сетей». (5968);Телекоммуникации
Nokia Cloud Signaling Director;Nexign Diameter Routing Agent (DRA) (16121);Телекоммуникации
Nokia Converged Charging;Система контроля баланса и тарификации в режиме реального времени Nexign Online Charging System (14100);Телекоммуникации|Биллинговые системы
Nokia Registers (NT HLR);Домашний регистр местоположения / регистр абонентских данных PROTEI HLR/HSS (6182);Телекоммуникации|Сетевое оборудование
Nokia TAS, CFX-5000;PROTEI IMS (11094);Телекоммуникации|Сетевое оборудование
Nokia Telecom Mediation;Nexign Mediation (undefined);Телекоммуникации
NoMachine;АССИСТЕНТ. Система удаленного мониторинга и управления. (3173);Системы организации групповой работы|Безопасный удаленный доступ|Для организации удалённой работы
NOVACAST;Система компьютерного моделирования литейных процессов "ПолигонСофт" (3378);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
Nuance ASR/TTS;Naumen CX (12797)|Naumen Erudite (6283);Колл-центры|Instant Messaging|Лингвистическое ПО
Nuance Dragon;Нестор.BRIEF. Система протоколирования совещаний (9023)|Нестор.ПРАВОСУДИЕ. Программный комплекс аудиовидеофиксации и протоколирования судебных заседаний. (1185);Органы власти|Системы аудиозаписи|Бюджетные учреждения|Лингвистическое ПО|Суд
Nuix;Content AI Intelligent Search (214);ПО для функциональных сотрудников/подразделений|Органы власти|Телекоммуникации|Энергетика|Банки и финансы|Системы полнотекстового поиска
Numara Track-It;ITSM-система ИнфраМенеджер (2595)|Naumen Service Desk (196)|Naumen Service Management Platform (5263)|Итилиум (1247);Системы управления бизнес-процессами|Средства управления ИТ-инфраструктурой|CRM-системы|Service Desk|Колл-центры
Numeca;FlowVision - вычислительная аэро-гидродинамика и многодисциплинарное моделирование (2504);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
Nutanix;ROSA Virtualization (5091)|VMmanager (790)|Гиперконвергентная инфраструктура vStack (11995)|Гиперконвергентная инфрастуктура ОТВ эв3 (5036)|Платформа управления и мониторинга среды виртуализации SharxBase (4445)|Система распределенного хранения данных «Р-Хранилище» (3380)|Система серверной виртуализации «Р-Виртуализация» (3348);Системы управления виртуализацией|Гипервизоры|Программно определяемые хранилища|Облачные программные платформы|Системы виртуализации
Nuxeo;Конфигурация «Архивное дело» для Системы «ЭОС Платформа» (12896)|Система «ЭОС Платформа» (12919);Системы документооборота (СЭД), ECM-системы
NX;КОМПАС-3D (697);CAD/ECAD/CAM/CAE-системы|Строительство|ПО для промышленности|BIM
NX CAM;CAD/CAM-система ГеММа-3D (5551)|SprutCAM (1435)|Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
NX Routing Harness;Оборудование: Кабели и жгуты (704);CAD/ECAD/CAM/CAE-системы|ПО для промышленности
o9 Solutions;key2SCM (undefined);Системы управления бизнес-процессами|Энергетика|Добывающая промышленность|Склады, логистика|Системы управления поставщиками (SRM), цепочками поставок (SCM)
ObservIT;Стахановец (3410);ПО для обеспечения ИБ|Системы мониторинга и управления
OIS UFAM;Knowledge Space (13092);ПО для функциональных сотрудников/подразделений|Системы управления бизнес-процессами|Системы мониторинга и управления|Средства прикладной разработки NoCode/LowCode|Базы знаний
Omilia;Naumen Erudite (6283);Instant Messaging|Колл-центры|Лингвистическое ПО
Omilia.;Naumen CX (12797);Колл-центры
Omilia.ASR;Naumen CX (12797)|Naumen Erudite (6283)|TWIN (11009);Колл-центры|Instant Messaging|Лингвистическое ПО
Omilia Business Insights;Smart Logger II. Программный комплекс системы контроля качества работы операторов и мониторинга удовлетворенности клиентов. (2008);СУБД и средства работы с данными|Аудио, видео, обработка изображений|Банки и финансы|QMS|Лингвистическое ПО
Omilia Conversational AI Self-Service;Омниканальная диалоговая платформа на естественном языке ChatNavigator (4837);Банки и финансы|Госуслуги|Лингвистическое ПО
Omninet;Naumen Service Desk (196);CRM-системы|Service Desk
OMNITRACKER;AMBER Service Desk - центр обработки обращений (undefined)|ITSM-система ИнфраМенеджер (2595)|Manage.one (8563)|Naumen Service Desk (196)|Naumen Service Management Platform (5263)|Pyrus (4857)|Service Desk ИнфраМенеджер (2595)|SimpleOne ITSM (undefined)|Итилиум (1247)|Платформа для автоматизации бизнес-процессов SimpleOne (6870);Service Desk|Системы управления бизнес-процессами|Средства управления ИТ-инфраструктурой|Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Колл-центры|Системы организации групповой работы|Корпоративные порталы и средства их создания
Omnitracs;Magenta. Mobile Client (9445)|Magenta. Scheduler (9313)|Magenta.Track and Trace (9217)|МАППА-Монитор логиста (12955);Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт|Склады, логистика
OmniWay Service Desk;Система автоматизированного эксплуатационного управления и учета средств связи и абонентов АРГУС (2791);Системы управления бизнес-процессами|Системы мониторинга и управления сетей и средств связи|Телекоммуникации|EAM-системы (управление активами предприятия)|Средства управления ИТ-инфраструктурой
OMP Planner;key2SCM (undefined)|Zyfra Reconciled Shipment Planning (undefined);Системы управления бизнес-процессами|Энергетика|Добывающая промышленность|Склады, логистика|Системы управления поставщиками (SRM), цепочками поставок (SCM)
OnApp;VMmanager (790);Системы управления виртуализацией
One drive;Manage.one (8563)|Мультипротокольный коммуникационный сервер CommuniGate Pro (1189)|Программный комплекс CommuniGate Pro Ver. 6.3 (7112);Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Service Desk|E-mail серверы|Коммуникационное ПО|Instant Messaging|Телефония|Колл-центры
One Identity Data Governance Edition;Гарда Файлы (undefined);DLP-системы|Средства защиты от НСД|Средства управления доступом к информационным ресурсам
One Identity Manager (by Quest);1IDM: управление учетными записями и доступом (5963);IDM-системы|Средства управления доступом к информационным ресурсам
One Identity Safeguard (BalaBit Shell Control Box);Инфраскоп (10023);Средства защиты баз данных|Безопасный удаленный доступ|Средства аутентификации пользователей|Средства двухфакторной аутентификации|Средства управления доступом к информационным ресурсам
Onfleet;Magenta. Mobile Client (9445)|Magenta. Scheduler (9313)|Magenta.Track and Trace (9217)|МАППА-Монитор логиста (12955);Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт|Склады, логистика
Onima;BILLmanager (1184);Биллинговые системы
Online Server;МойОфис Частное Облако (89);Офисные пакеты|Для организации удалённой работы|Системы облачного хранения файлов
Onyma Billing;Bercut, Конвергентная биллинговая система IN@Voice для монетизации бизнеса и развития цифровых экосистем (3060)|Автоматизированная система расчетов «Svetets BPS» (4253);Телекоммуникации|Биллинговые системы
OpCenter;Диспетчер MES (undefined);MES
Opcenter Quality (QMS);Zyfra Industrial Automation Kit (undefined);Системы мониторинга и управления|MES
OpenAGC;ИНФОПРО: Планирование режимов (2960);Энергетика|MES
OpenBaton;VMmanager (790);Системы управления виртуализацией
OpenBuildings Designer;Model Studio CS Технологические схемы (848)|Model Studio CS Электротехнические схемы (9954);Энергетика|CAD/ECAD/CAM/CAE-системы|Отечественное ПО, бесплатное для образовательных организаций|ПО для промышленности|BIM
OpenEA;ИНФОПРО: Управление транспортом электрической энергии (4256);Системы мониторинга и управление энергосетей|Энергетика
OpenECA™;ИНФОПРО: Энерготрейдинг (2953);Аналитические системы (BI)|Энергетика|Интеграционное ПО. Интеграционные шины, ESB
OpenESB;1С:Интеграция КОРП (310755)|Bercut, Гибридная интеграционная платформа (Hybrid Integration Platform) (5746)|RED MULE, Интеграционная Цифровая Платформа (Digital Integration Platform) (12601)|Репликация информационных баз (DB Replication) (3856);Интеграционное ПО. Интеграционные шины, ESB|Средства резервного копирования|Средства синхронизации и репликации БД
OpenFOAM;FlowVision - вычислительная аэро-гидродинамика и многодисциплинарное моделирование (2504);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
OpenIA™;ИНФОПРО: Расчет ТЭП (4273)|ИНФОПРО: Энерготрейдинг (2953);Системы мониторинга и управления|Энергетика|MES|Аналитические системы (BI)|Интеграционное ПО. Интеграционные шины, ESB
OpenMOS™;ИНФОПРО: Энерготрейдинг (2953);Аналитические системы (BI)|Энергетика|Интеграционное ПО. Интеграционные шины, ESB
OpenNebula;VMmanager (790)|Гиперконвергентная инфрастуктура ОТВ эв3 (5036);Системы управления виртуализацией|Гипервизоры|Программно определяемые хранилища|Облачные программные платформы
OpenNet;ИНФОПРО: Управление транспортом электрической энергии (4256);Системы мониторинга и управление энергосетей|Энергетика
OpenPlant PID;Model Studio CS Технологические схемы (848);Энергетика|CAD/ECAD/CAM/CAE-системы|Отечественное ПО, бесплатное для образовательных организаций|ПО для промышленности|BIM
OpenShift;Deckhouse Kubernetes Platform (12338)|VMmanager (790);Системы виртуализации|Средства разработки|Средства управления ИТ-инфраструктурой|Облачные программные платформы|Системы управления виртуализацией
OpenStack;VMmanager (790)|Гиперконвергентная инфрастуктура ОТВ эв3 (5036);Системы управления виртуализацией|Гипервизоры|Программно определяемые хранилища|Облачные программные платформы
OpenSTLF;ИНФОПРО: Планирование режимов (2960);Энергетика|MES
OpenText;1C:Документооборот КОРП (258)|AMBER CRM - система управления продажами и коммуникациями с клиентами (undefined)|Jmix RAD платформа (12044)|Naumen Disc (undefined)|Naumen Service Management Platform (5263)|Бипиум (3455)|Система управления данными Галактика ECM.CORP (5934)|1С:КОРПОРАЦИЯ (undefined)|Comindware Business Application Platform (2275)|CompanyMedia (871)|ELMA365 (8414)|Логика ПЛАТФОРМА (7076)|Система Directum (4499)|Система автоматизации делопроизводства и электронного документооборота («Дело») (86)|Спутник (Sputnik) (3486);Системы документооборота (СЭД), ECM-системы|ПО для работы с документами и текстами|CRM-системы|Системы управления бизнес-процессами|Средства разработки|Программные платформы|Корпоративные порталы и средства их создания|Средства прикладной разработки NoCode/LowCode|Системы облачного хранения файлов|Колл-центры|Service Desk|Системы управления закупками|Системы управления проектами|MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы организации групповой работы|Для организации удалённой работы|Средства управления ИТ-инфраструктурой
OpenText Documentum;1C:Документооборот КОРП (258)|1С:КОРПОРАЦИЯ (undefined)|Directum Cloud (382)|Docsvision (36)|Naumen Service Management Platform (5263)|Pyrus (4857)|Конфигурация «Архивное дело» для Системы «ЭОС Платформа» (12896)|Логика ПЛАТФОРМА (7076)|Система Directum (4499)|Система управления данными Галактика ECM.CORP (5934)|Система управления документами и задачами ТЕЗИС (271)|Система «ЭОС Платформа» (12919)|Спутник (Sputnik) (3486)|ЭЛАР Контекст (12298);Системы документооборота (СЭД), ECM-системы|ПО для работы с документами и текстами|MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы организации групповой работы|Системы управления бизнес-процессами|Для организации удалённой работы|Системы управления проектами|Колл-центры|Service Desk|CRM-системы|Корпоративные порталы и средства их создания|Системы оптического распознавания текстов|Органы власти|Программные платформы|ПО для промышленности
OpenText (SAP);1С:КОРПОРАЦИЯ (undefined)|Naumen Service Management Platform (5263)|Логика ПЛАТФОРМА (7076)|Система управления данными Галактика ECM.CORP (5934)|Спутник (Sputnik) (3486)|Цитрос Цифровая Платформа (13002);MDM-системы (Master Data Management)|Бухгалтерия, финансы и отчетность|ERP-системы|MES|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Колл-центры|Service Desk|Системы документооборота (СЭД), ECM-системы|Системы организации групповой работы|Системы управления бизнес-процессами|Для организации удалённой работы
Opentext Web Site Management / RedDot;Система управления контентом QP8.CMS с поддержкой PostgreSQL (10458);Корпоративные порталы и средства их создания|Управление Web-сайтами
OpenTouch SBC;СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Сетевое оборудование
Optimine + Newtrax;Zyfra Underground (undefined);Добывающая промышленность|ПО для промышленности
Optimizely;Система управления контентом QP8.CMS с поддержкой PostgreSQL (10458);Корпоративные порталы и средства их создания|Управление Web-сайтами
OPUS Terminal;AXELOT TOS (9675);Склады, логистика
Oracle;Database Adapter (1684)|Manage.one (8563)|NitrosBase (4452)|РСУБД ЛИНТЕР БАСТИОН (105)|РСУБД ЛИНТЕР СТАНДАРТ (3894);Реляционные СУБД|Нереляционные СУБД|Бухгалтерия, финансы и отчетность|Управление финансами|CRM-системы|Системы управления закупками|Service Desk
Oracle AcmePacket Platform;SI3000 BGW Пограничный шлюз BGW 3.0 (5979)|СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Защищенный сетевой шлюз|Телефония|Сетевое оборудование
Oracle Aconex;NS Project (undefined)|Pilot-BIM (7691)|Pilot-ICE (3475)|Pilot-ICE Enterprise (3317)|TDMS Фарватер (5374)|Vitro-CAD (966);Системы документооборота (СЭД), ECM-системы|CAD/ECAD/CAM/CAE-системы|Строительство|Моделирование технических систем и объектов|Системы управления проектами|ПО для промышленности|BIM|ПО для работы с документами и текстами|Управление корпоративными данными (Data Governance)
Oracle Advertising and Customer Experience (CX);AGORA — платформа электронной коммерции и закупок (7492)|Еком-платформа Ensi (13451);Корпоративные порталы и средства их создания|Управление Web-сайтами|Средства прикладной разработки NoCode/LowCode|Торговля
Oracle Analytics;N3.Аналитика (5104)|Триафлай (2965);Аналитические системы (BI)|Системы мониторинга и управления
Oracle Balanced Scorecard;WA: Финансист (3139)|Контур.Пульс (13029)|Система интеллектуального анализа данных PolyAnalyst (4414)|Триафлай (2965)|ФинГрад (7204)|Форсайт. Аналитическая платформа (5307);Бухгалтерия, финансы и отчетность|Управление финансами|Аналитические системы (BI)|Системы мониторинга и управления
Oracle BI;Digital Q.Reporting (undefined)|Linkage Navigator (12465)|Polymatica (7690)|БИПЛАН24 (Biplane24) (2018619448)|Система интеллектуального анализа данных PolyAnalyst (4414)|Триафлай (2965)|Форсайт. Аналитическая платформа (5307)|Цифровая платформа «Управление в пространстве» (7516);Аналитические системы (BI)|Банки и финансы|Колл-центры|ЗАГС|Бухгалтерия, финансы и отчетность|Системы управления бизнес-процессами|Системы мониторинга и управления|ПО для промышленности|Геоинформационные системы (ГИС)|Умный город|Управление ЖКХ|Транспорт
Oracle BPM;AMBER BPM – платформа для автоматизации бизнеса со встроенным набором конструкторов (undefined)|Bercut, Гибридная интеграционная платформа (Hybrid Integration Platform) (5746)|Comindware Business Application Platform (2275)|ELMA365 (8414)|Jmix RAD платформа (12044)|Pyrus (4857)|RunaWFE (951)|СРМ-платформа «Контур»: Бюджет хозяйственных расходов (3748);Системы управления бизнес-процессами|Интеграционное ПО. Интеграционные шины, ESB|Программные платформы|Корпоративные порталы и средства их создания|Средства прикладной разработки NoCode/LowCode|Системы документооборота (СЭД), ECM-системы|CRM-системы|Средства управления ИТ-инфраструктурой|Средства разработки|Системы организации групповой работы|Service Desk|Обучающее ПО|Отечественное ПО, бесплатное для образовательных организаций|Аналитические системы (BI)|Бухгалтерия, финансы и отчетность|Банки и финансы|Системы управления задачами
Oracle Call Center Software;Call-центр / IP АТС Infinity (13330)|Naumen Contact Center (177)|Naumen CX (12797)|Unistar Contact Center (undefined)|Платформа CraftTalk (5035)|Центр обслуживания вызовов ПРОТЕЙ (1428);Телефония|Колл-центры|Коммуникационное ПО|E-mail серверы|Для организации удалённой работы|Instant Messaging
Oracle Cash Management;WA: Финансист (3139)|Контур.Пульс (13029)|ФинГрад (7204);Бухгалтерия, финансы и отчетность|Управление финансами
Oracle Cloud sales;Pyrus (4857)|Бипиум (3455);Системы организации групповой работы|Системы управления бизнес-процессами|CRM-системы|Корпоративные порталы и средства их создания|Service Desk|Программные платформы|Системы управления закупками|Системы управления проектами
Oracle Cloud Scale Charging;Система контроля баланса и тарификации в режиме реального времени Nexign Online Charging System (14100);Телекоммуникации|Биллинговые системы
Oracle Communications Billing and Revenue Management;Nexign Revenue Management (undefined);Телекоммуникации|Биллинговые системы
Oracle Communications Core Session Manager and IMS;PROTEI IMS (11094);Телекоммуникации|Сетевое оборудование
Oracle Communications Diameter Signaling Router;Nexign Diameter Routing Agent (DRA) (16121);Телекоммуникации
Oracle Communications Offline Mediation Controller;Nexign Mediation (undefined);Телекоммуникации
Oracle Communications Session Border Controller;SI3000 BGW Пограничный шлюз BGW 3.0 (5979);Телекоммуникации|Защищенный сетевой шлюз|Телефония
Oracle Content Management;Система управления контентом QP8.CMS с поддержкой PostgreSQL (10458);Корпоративные порталы и средства их создания|Управление Web-сайтами
Oracle CRM;AMBER CRM - система управления продажами и коммуникациями с клиентами (undefined)|CRM Мегаплан (1941)|Forward CRM (undefined)|Manage.one (8563)|Naumen Service Management Platform (5263)|OkoCRM (undefined)|Pyrus (4857)|RightWay (11036)|Бипиум (3455)|СУПеР (3999);CRM-системы|Системы управления задачами|Бухгалтерия, финансы и отчетность|Управление финансами|Системы управления закупками|Service Desk|Колл-центры|Системы управления проектами|Системы организации групповой работы|Системы управления бизнес-процессами|Корпоративные порталы и средства их создания|Программные платформы|ПО для функциональных сотрудников/подразделений|Системы документооборота (СЭД), ECM-системы|Для организации удалённой работы
Oracle Database;Database Adapter (1684)|Nexign Nord (14734)|РСУБД ЛИНТЕР БАСТИОН (105)|РСУБД ЛИНТЕР СТАНДАРТ (3894)|СУБД Postgres Pro (104)|СУБД Tantor (14818)|СУБД «Ред База Данных» (1);Реляционные СУБД|Нереляционные СУБД|СУБД для аналитики|Аналитические системы (BI)
Oracle Database Security;Гарда БД (1284);Средства защиты баз данных
Oracle Data Masking;Гарда Маскирование (undefined);Средства криптозащиты информации
Oracle Data Quality;Система интеллектуального анализа данных PolyAnalyst (4414)|Триафлай (2965)|Форсайт. Аналитическая платформа (5307);Аналитические системы (BI)|Системы мониторинга и управления
Oracle DBI;WA: Финансист (3139)|Контур.Пульс (13029)|ФинГрад (7204);Бухгалтерия, финансы и отчетность|Управление финансами
Oracle Eagle;PROTEI Signaling Firewall (8589);Телекоммуникации|Сетевое оборудование
Oracle EAM;1С:ТОИР Управление ремонтами и обслуживанием оборудования (638)|TechnologiCS (846)|Галактика EAM (985)|Система сбора данных и моделирования жизненного цикла изделия КАСКАД (2890)|ТRS.EVA универсальная программная платформа (5801)|ТУРБО ТОРО (12349);Системы управления бизнес-процессами|EAM-системы (управление активами предприятия)|Управление ТОиР|PLM - системы (Product Lifecycle Management)|IIoT (промышленный интернет вещей)|MES|PDM - системы (Product Data Management)|Системы мониторинга и управления|Средства разработки|Программные платформы|Средства управления ИТ-инфраструктурой|ПО для промышленности
